event_name,event_date,year,r_fighter,b_fighter,winner,weight_class,prob_red,pred,correct,confidence
UFC Fight Night: Smith vs. Spann,2021-09-18,2021,Anthony Smith,Ryan Spann,Red,Light Heavyweight,0.5258639604908859,1,1,0.5258639604908859
UFC 266: Volkanovski vs. Ortega,2021-09-25,2021,Jonathan Pearce,Omar Morales,Red,Featherweight,0.8728432755818135,1,1,0.8728432755818135
UFC 266: Volkanovski vs. Ortega,2021-09-25,2021,Matthew Semelsberger,Martin Sano,Red,Welterweight,0.8487751757788222,1,1,0.8487751757788222
UFC 266: Volkanovski vs. Ortega,2021-09-25,2021,Cody Brundage,Nick Maximov,Blue,Middleweight,0.6125278936050554,1,0,0.6125278936050554
UFC 266: Volkanovski vs. Ortega,2021-09-25,2021,Uros Medic,Jalin Turner,Blue,Lightweight,0.6043731557236228,1,0,0.6043731557236228
UFC 266: Volkanovski vs. Ortega,2021-09-25,2021,Roxanne Modafferi,Taila Santos,Blue,Women's Flyweight,0.1996460227853294,0,1,0.8003539772146706
UFC 266: Volkanovski vs. Ortega,2021-09-25,2021,Shamil Abdurakhimov,Chris Daukaus,Blue,Heavyweight,0.6297517634268248,1,0,0.6297517634268248
UFC 266: Volkanovski vs. Ortega,2021-09-25,2021,Dan Hooker,Nasrat Haqparast,Red,Lightweight,0.49035463378909266,0,0,0.5096453662109073
UFC 266: Volkanovski vs. Ortega,2021-09-25,2021,Marlon Moraes,Merab Dvalishvili,Blue,Bantamweight,0.3325823979588676,0,1,0.6674176020411324
UFC 266: Volkanovski vs. Ortega,2021-09-25,2021,Jessica Andrade,Cynthia Calvillo,Red,Women's Flyweight,0.7855365464915138,1,1,0.7855365464915138
UFC 266: Volkanovski vs. Ortega,2021-09-25,2021,Curtis Blaydes,Jairzinho Rozenstruik,Red,Heavyweight,0.8338288053502868,1,1,0.8338288053502868
UFC 266: Volkanovski vs. Ortega,2021-09-25,2021,Nick Diaz,Robbie Lawler,Blue,Middleweight,0.774113649406007,1,0,0.774113649406007
UFC 266: Volkanovski vs. Ortega,2021-09-25,2021,Valentina Shevchenko,Lauren Murphy,Red,UFC Women's Flyweight Title,0.8979698695660275,1,1,0.8979698695660275
UFC 266: Volkanovski vs. Ortega,2021-09-25,2021,Alexander Volkanovski,Brian Ortega,Red,UFC Featherweight Title,0.9251741895901321,1,1,0.9251741895901321
UFC Fight Night: Santos vs. Walker,2021-10-02,2021,Alejandro Perez,Johnny Eduardo,Red,Bantamweight,0.6887136216168603,1,1,0.6887136216168603
UFC Fight Night: Santos vs. Walker,2021-10-02,2021,Stephanie Egger,Shanna Young,Red,Women's Bantamweight,0.5796233002153587,1,1,0.5796233002153587
UFC Fight Night: Santos vs. Walker,2021-10-02,2021,Douglas Silva de Andrade,Gaetano Pirrello,Red,Bantamweight,0.8852001235725707,1,1,0.8852001235725707
UFC Fight Night: Santos vs. Walker,2021-10-02,2021,Devonte Smith,Jamie Mullarkey,Blue,Lightweight,0.5668421418505543,1,0,0.5668421418505543
UFC Fight Night: Santos vs. Walker,2021-10-02,2021,Bethe Correia,Karol Rosa,Blue,Women's Bantamweight,0.28265615518672604,0,1,0.717343844813274
UFC Fight Night: Santos vs. Walker,2021-10-02,2021,Antonina Shevchenko,Casey O'Neill,Blue,Women's Flyweight,0.2667365964257253,0,1,0.7332634035742747
UFC Fight Night: Santos vs. Walker,2021-10-02,2021,Joe Solecki,Jared Gordon,Blue,Lightweight,0.41490419358785624,0,1,0.5850958064121438
UFC Fight Night: Santos vs. Walker,2021-10-02,2021,Alexander Hernandez,Mike Breeden,Red,Lightweight,0.6021482290164115,1,1,0.6021482290164115
UFC Fight Night: Santos vs. Walker,2021-10-02,2021,Misha Cirkunov,Krzysztof Jotko,Blue,Middleweight,0.6195160005781322,1,0,0.6195160005781322
UFC Fight Night: Santos vs. Walker,2021-10-02,2021,Alex Oliveira,Niko Price,Blue,Welterweight,0.5861549274628888,1,0,0.5861549274628888
UFC Fight Night: Santos vs. Walker,2021-10-02,2021,Thiago Santos,Johnny Walker,Red,Light Heavyweight,0.43433169080268846,0,0,0.5656683091973116
UFC Fight Night: Dern vs. Rodriguez,2021-10-09,2021,Steve Garcia,Charlie Ontiveros,Red,Lightweight,0.9684194409448125,1,1,0.9684194409448125
UFC Fight Night: Dern vs. Rodriguez,2021-10-09,2021,Loopy Godinez,Silvana Gomez Juarez,Red,Women's Strawweight,0.9007687110253927,1,1,0.9007687110253927
UFC Fight Night: Dern vs. Rodriguez,2021-10-09,2021,Charles Rosa,Damon Jackson,Blue,Featherweight,0.3533392230537097,0,1,0.6466607769462903
UFC Fight Night: Dern vs. Rodriguez,2021-10-09,2021,Alexandr Romanov,Jared Vanderaa,Red,Heavyweight,0.8776259807343276,1,1,0.8776259807343276
UFC Fight Night: Dern vs. Rodriguez,2021-10-09,2021,Chris Gutierrez,Felipe Colares,Red,Bantamweight,0.8823988954228882,1,1,0.8823988954228882
UFC Fight Night: Dern vs. Rodriguez,2021-10-09,2021,Sabina Mazo,Mariya Agapova,Blue,Women's Flyweight,0.7018044020506448,1,0,0.7018044020506448
UFC Fight Night: Dern vs. Rodriguez,2021-10-09,2021,Tim Elliott,Matheus Nicolau,Blue,Flyweight,0.28198913325369,0,1,0.71801086674631
UFC Fight Night: Dern vs. Rodriguez,2021-10-09,2021,Randy Brown,Jared Gooden,Red,Welterweight,0.7263264672045194,1,1,0.7263264672045194
UFC Fight Night: Dern vs. Rodriguez,2021-10-09,2021,Mackenzie Dern,Marina Rodriguez,Blue,Women's Strawweight,0.3281409037827877,0,1,0.6718590962172123
UFC Fight Night: Ladd vs. Dumont,2021-10-16,2021,Istela Nunes,Ariane Carnelossi,Blue,Women's Strawweight,0.5822737331719289,1,0,0.5822737331719289
UFC Fight Night: Ladd vs. Dumont,2021-10-16,2021,Batgerel Danaa,Brandon Davis,Red,Bantamweight,0.6511923160845682,1,1,0.6511923160845682
UFC Fight Night: Ladd vs. Dumont,2021-10-16,2021,Loopy Godinez,Luana Carolina,Blue,Women's Flyweight,0.7642476885916433,1,0,0.7642476885916433
UFC Fight Night: Ladd vs. Dumont,2021-10-16,2021,Danny Roberts,Ramazan Emeev,Red,Welterweight,0.453625707956867,0,0,0.5463742920431329
UFC Fight Night: Ladd vs. Dumont,2021-10-16,2021,Andrew Sanchez,Bruno Silva,Blue,Middleweight,0.534791409858662,1,0,0.534791409858662
UFC Fight Night: Ladd vs. Dumont,2021-10-16,2021,Nate Landwehr,Ludovit Klein,Red,Featherweight,0.3987831834598962,0,0,0.6012168165401037
UFC Fight Night: Ladd vs. Dumont,2021-10-16,2021,Manon Fiorot,Mayra Bueno Silva,Red,Women's Flyweight,0.845870767572518,1,1,0.845870767572518
UFC Fight Night: Ladd vs. Dumont,2021-10-16,2021,Jim Miller,Erick Gonzalez,Red,Lightweight,0.7934876976441855,1,1,0.7934876976441855
UFC Fight Night: Ladd vs. Dumont,2021-10-16,2021,Andrei Arlovski,Carlos Felipe,Red,Heavyweight,0.3376527028027359,0,0,0.6623472971972642
UFC Fight Night: Ladd vs. Dumont,2021-10-16,2021,Aspen Ladd,Norma Dumont,Blue,Women's Featherweight,0.5082982516534321,1,0,0.5082982516534321
UFC Fight Night: Costa vs. Vettori,2021-10-23,2021,Jonathan Martinez,Zviad Lazishvili,Red,Bantamweight,0.8842412731608245,1,1,0.8842412731608245
UFC Fight Night: Costa vs. Vettori,2021-10-23,2021,Livinha Souza,Randa Markos,Blue,Women's Strawweight,0.7246062681607122,1,0,0.7246062681607122
UFC Fight Night: Costa vs. Vettori,2021-10-23,2021,Jeff Molina,Daniel Lacerda,Red,Flyweight,0.9233637020645296,1,1,0.9233637020645296
UFC Fight Night: Costa vs. Vettori,2021-10-23,2021,Khama Worthy,Jai Herbert,Blue,Lightweight,0.6108440552181327,1,0,0.6108440552181327
UFC Fight Night: Costa vs. Vettori,2021-10-23,2021,Jamie Pickett,Laureano Staropoli,Red,Middleweight,0.5935647859207965,1,1,0.5935647859207965
UFC Fight Night: Costa vs. Vettori,2021-10-23,2021,Tabatha Ricci,Maria Oliveira,Red,Women's Strawweight,0.6406379880557816,1,1,0.6406379880557816
UFC Fight Night: Costa vs. Vettori,2021-10-23,2021,Mason Jones,David Onama,Red,Lightweight,0.678093814352135,1,1,0.678093814352135
UFC Fight Night: Costa vs. Vettori,2021-10-23,2021,JunYong Park,Gregory Rodrigues,Blue,Middleweight,0.45919638248036443,0,1,0.5408036175196356
UFC Fight Night: Costa vs. Vettori,2021-10-23,2021,Nicolae Negumereanu,Ike Villanueva,Red,Light Heavyweight,0.6961594480894683,1,1,0.6961594480894683
UFC Fight Night: Costa vs. Vettori,2021-10-23,2021,Francisco Trinaldo,Dwight Grant,Red,Welterweight,0.6865142378867499,1,1,0.6865142378867499
UFC Fight Night: Costa vs. Vettori,2021-10-23,2021,Alex Caceres,SeungWoo Choi,Red,Featherweight,0.6496424945911898,1,1,0.6496424945911898
UFC Fight Night: Costa vs. Vettori,2021-10-23,2021,Jessica-Rose Clark,Joselyne Edwards,Red,Women's Bantamweight,0.33362438195651434,0,0,0.6663756180434857
UFC Fight Night: Costa vs. Vettori,2021-10-23,2021,Paulo Costa,Marvin Vettori,Blue,Light Heavyweight,0.4844276964162745,0,1,0.5155723035837255
UFC 267: Blachowicz vs. Teixeira,2021-10-30,2021,Tagir Ulanbekov,Allan Nascimento,Red,Flyweight,0.6967429908094432,1,1,0.6967429908094432
UFC 267: Blachowicz vs. Teixeira,2021-10-30,2021,Hu Yaozong,Andre Petroski,Blue,Middleweight,0.3061346435228069,0,1,0.693865356477193
UFC 267: Blachowicz vs. Teixeira,2021-10-30,2021,Makwan Amirkhani,Lerone Murphy,Blue,Featherweight,0.31816485741259193,0,1,0.6818351425874081
UFC 267: Blachowicz vs. Teixeira,2021-10-30,2021,Shamil Gamzatov,Michal Oleksiejczuk,Blue,Light Heavyweight,0.7097768164449803,1,0,0.7097768164449803
UFC 267: Blachowicz vs. Teixeira,2021-10-30,2021,Elizeu Zaleski dos Santos,Benoit Saint Denis,Red,Welterweight,0.5785152648674907,1,1,0.5785152648674907
UFC 267: Blachowicz vs. Teixeira,2021-10-30,2021,Albert Duraev,Roman Kopylov,Red,Middleweight,0.5270660993325224,1,1,0.5270660993325224
UFC 267: Blachowicz vs. Teixeira,2021-10-30,2021,Ricardo Ramos,Zubaira Tukhugov,Blue,Featherweight,0.48065175313009956,0,1,0.5193482468699004
UFC 267: Blachowicz vs. Teixeira,2021-10-30,2021,Amanda Ribas,Virna Jandiroba,Red,Women's Strawweight,0.6182716916214129,1,1,0.6182716916214129
UFC 267: Blachowicz vs. Teixeira,2021-10-30,2021,Magomed Ankalaev,Volkan Oezdemir,Red,Light Heavyweight,0.7538750375039446,1,1,0.7538750375039446
UFC 267: Blachowicz vs. Teixeira,2021-10-30,2021,Li Jingliang,Khamzat Chimaev,Blue,Welterweight,0.3770288001036272,0,1,0.6229711998963727
UFC 267: Blachowicz vs. Teixeira,2021-10-30,2021,Alexander Volkov,Marcin Tybura,Red,Heavyweight,0.875720814480774,1,1,0.875720814480774
UFC 267: Blachowicz vs. Teixeira,2021-10-30,2021,Islam Makhachev,Dan Hooker,Red,Lightweight,0.8541267407264594,1,1,0.8541267407264594
UFC 267: Blachowicz vs. Teixeira,2021-10-30,2021,Petr Yan,Cory Sandhagen,Red,UFC Interim Bantamweight Title,0.6223330124417075,1,1,0.6223330124417075
UFC 267: Blachowicz vs. Teixeira,2021-10-30,2021,Jan Blachowicz,Glover Teixeira,Blue,UFC Light Heavyweight Title,0.4519763481631355,0,1,0.5480236518368645
UFC 268: Usman vs. Covington 2,2021-11-06,2021,CJ Vergara,Ode Osbourne,Blue,Flyweight,0.7513728729425073,1,0,0.7513728729425073
UFC 268: Usman vs. Covington 2,2021-11-06,2021,Melsik Baghdasaryan,Bruno Souza,Red,Featherweight,0.7010314121569323,1,1,0.7010314121569323
UFC 268: Usman vs. Covington 2,2021-11-06,2021,Dustin Jacoby,John Allan,Red,Light Heavyweight,0.7700804655186012,1,1,0.7700804655186012
UFC 268: Usman vs. Covington 2,2021-11-06,2021,Gian Villante,Chris Barnett,Blue,Heavyweight,0.5989128392263787,1,0,0.5989128392263787
UFC 268: Usman vs. Covington 2,2021-11-06,2021,Ian Machado Garry,Jordan Williams,Red,Welterweight,0.9001734937294419,1,1,0.9001734937294419
UFC 268: Usman vs. Covington 2,2021-11-06,2021,Edmen Shahbazyan,Nassourdine Imavov,Blue,Middleweight,0.597145979329504,1,0,0.597145979329504
UFC 268: Usman vs. Covington 2,2021-11-06,2021,Phil Hawes,Chris Curtis,Blue,Middleweight,0.6934697991847211,1,0,0.6934697991847211
UFC 268: Usman vs. Covington 2,2021-11-06,2021,Al Iaquinta,Bobby Green,Blue,Lightweight,0.40219786696014564,0,1,0.5978021330398544
UFC 268: Usman vs. Covington 2,2021-11-06,2021,Alex Pereira,Andreas Michailidis,Red,Middleweight,0.9138015002110392,1,1,0.9138015002110392
UFC 268: Usman vs. Covington 2,2021-11-06,2021,Justin Gaethje,Michael Chandler,Red,Lightweight,0.7654698342550145,1,1,0.7654698342550145
UFC 268: Usman vs. Covington 2,2021-11-06,2021,Shane Burgos,Billy Quarantillo,Red,Featherweight,0.490083665794859,0,0,0.5099163342051409
UFC 268: Usman vs. Covington 2,2021-11-06,2021,Frankie Edgar,Marlon Vera,Blue,Bantamweight,0.526787882768235,1,0,0.526787882768235
UFC 268: Usman vs. Covington 2,2021-11-06,2021,Rose Namajunas,Zhang Weili,Red,UFC Women's Strawweight Title,0.24583223841437096,0,0,0.754167761585629
UFC 268: Usman vs. Covington 2,2021-11-06,2021,Kamaru Usman,Colby Covington,Red,UFC Welterweight Title,0.7980480033243392,1,1,0.7980480033243392
UFC Fight Night: Holloway vs. Rodriguez,2021-11-13,2021,Kennedy Nzechukwu,Da Woon Jung,Blue,Light Heavyweight,0.4546587632711079,0,1,0.5453412367288921
UFC Fight Night: Holloway vs. Rodriguez,2021-11-13,2021,Marc Diakiese,Rafael Alves,Blue,Lightweight,0.7949233715096924,1,0,0.7949233715096924
UFC Fight Night: Holloway vs. Rodriguez,2021-11-13,2021,Cortney Casey,Liana Jojua,Red,Women's Flyweight,0.6355471148475426,1,1,0.6355471148475426
UFC Fight Night: Holloway vs. Rodriguez,2021-11-13,2021,Sean Woodson,Collin Anglin,Red,Featherweight,0.7427757850825356,1,1,0.7427757850825356
UFC Fight Night: Holloway vs. Rodriguez,2021-11-13,2021,Cynthia Calvillo,Andrea Lee,Blue,Women's Flyweight,0.44825290563547937,0,1,0.5517470943645206
UFC Fight Night: Holloway vs. Rodriguez,2021-11-13,2021,Thiago Moises,Joel Alvarez,Blue,Lightweight,0.41664687271659495,0,1,0.583353127283405
UFC Fight Night: Holloway vs. Rodriguez,2021-11-13,2021,Song Yadong,Julio Arce,Red,Bantamweight,0.7704059906520714,1,1,0.7704059906520714
UFC Fight Night: Holloway vs. Rodriguez,2021-11-13,2021,Miguel Baeza,Khaos Williams,Blue,Welterweight,0.5775830536416865,1,0,0.5775830536416865
UFC Fight Night: Holloway vs. Rodriguez,2021-11-13,2021,Felicia Spencer,Leah Letson,Red,Women's Featherweight,0.726617042221273,1,1,0.726617042221273
UFC Fight Night: Holloway vs. Rodriguez,2021-11-13,2021,Ben Rothwell,Marcos Rogerio de Lima,Blue,Heavyweight,0.7152744223056461,1,0,0.7152744223056461
UFC Fight Night: Holloway vs. Rodriguez,2021-11-13,2021,Max Holloway,Yair Rodriguez,Red,Featherweight,0.7886248553506731,1,1,0.7886248553506731
UFC Fight Night: Vieira vs. Tate,2021-11-20,2021,Luana Pinheiro,Sam Hughes,Red,Women's Strawweight,0.7908571325208588,1,1,0.7908571325208588
UFC Fight Night: Vieira vs. Tate,2021-11-20,2021,Shayilan Nuerdanbieke,Sean Soriano,Red,Featherweight,0.7770358502843094,1,1,0.7770358502843094
UFC Fight Night: Vieira vs. Tate,2021-11-20,2021,Cody Durden,Aoriqileng,Red,Flyweight,0.5789762453352092,1,1,0.5789762453352092
UFC Fight Night: Vieira vs. Tate,2021-11-20,2021,Loma Lookboonmee,Loopy Godinez,Blue,Women's Strawweight,0.5531631069510268,1,0,0.5531631069510268
UFC Fight Night: Vieira vs. Tate,2021-11-20,2021,Rafa Garcia,Natan Levy,Red,Lightweight,0.801360104246899,1,1,0.801360104246899
UFC Fight Night: Vieira vs. Tate,2021-11-20,2021,Pat Sabatini,Tucker Lutz,Red,Featherweight,0.6466581175343943,1,1,0.6466581175343943
UFC Fight Night: Vieira vs. Tate,2021-11-20,2021,Davey Grant,Adrian Yanez,Blue,Bantamweight,0.2670737517948999,0,1,0.7329262482051001
UFC Fight Night: Vieira vs. Tate,2021-11-20,2021,Rani Yahya,Kyung Ho Kang,Red,Bantamweight,0.6492888663200952,1,1,0.6492888663200952
UFC Fight Night: Vieira vs. Tate,2021-11-20,2021,Joanne Wood,Taila Santos,Blue,Women's Flyweight,0.2491957383872015,0,1,0.7508042616127986
UFC Fight Night: Vieira vs. Tate,2021-11-20,2021,Michael Chiesa,Sean Brady,Blue,Welterweight,0.31106039302664745,0,1,0.6889396069733525
UFC Fight Night: Vieira vs. Tate,2021-11-20,2021,Ketlen Vieira,Miesha Tate,Red,Women's Bantamweight,0.7139145827015467,1,1,0.7139145827015467
UFC Fight Night: Font vs. Aldo,2021-12-04,2021,Louis Smolka,Vince Morales,Blue,Bantamweight,0.8125735472201747,1,0,0.8125735472201747
UFC Fight Night: Font vs. Aldo,2021-12-04,2021,Claudio Puelles,Chris Gruetzemacher,Red,Lightweight,0.5264503560312687,1,1,0.5264503560312687
UFC Fight Night: Font vs. Aldo,2021-12-04,2021,Alonzo Menifield,William Knight,Blue,Light Heavyweight,0.8493312972162316,1,0,0.8493312972162316
UFC Fight Night: Font vs. Aldo,2021-12-04,2021,Cheyanne Vlismas,Mallory Martin,Red,Women's Strawweight,0.8000117339243275,1,1,0.8000117339243275
UFC Fight Night: Font vs. Aldo,2021-12-04,2021,Bryan Barberena,Darian Weeks,Red,Welterweight,0.57725570751033,1,1,0.57725570751033
UFC Fight Night: Font vs. Aldo,2021-12-04,2021,Manel Kape,Zhalgas Zhumagulov,Red,Flyweight,0.8637523991918984,1,1,0.8637523991918984
UFC Fight Night: Font vs. Aldo,2021-12-04,2021,Maki Pitolo,Dusko Todorovic,Blue,Middleweight,0.4617245490100686,0,1,0.5382754509899315
UFC Fight Night: Font vs. Aldo,2021-12-04,2021,Alex Morono,Mickey Gall,Red,Welterweight,0.8432056951913285,1,1,0.8432056951913285
UFC Fight Night: Font vs. Aldo,2021-12-04,2021,Brendan Allen,Chris Curtis,Blue,Middleweight,0.41581183284684614,0,1,0.5841881671531539
UFC Fight Night: Font vs. Aldo,2021-12-04,2021,Clay Guida,Leonardo Santos,Red,Lightweight,0.6131661258408547,1,1,0.6131661258408547
UFC Fight Night: Font vs. Aldo,2021-12-04,2021,Jimmy Crute,Jamahal Hill,Blue,Light Heavyweight,0.4157430474110153,0,1,0.5842569525889847
UFC Fight Night: Font vs. Aldo,2021-12-04,2021,Brad Riddell,Rafael Fiziev,Blue,Lightweight,0.49764003232792553,0,1,0.5023599676720745
UFC Fight Night: Font vs. Aldo,2021-12-04,2021,Rob Font,Jose Aldo,Blue,Bantamweight,0.4956624236828086,0,1,0.5043375763171913
UFC 269: Oliveira vs. Poirier,2021-12-11,2021,Gillian Robertson,Priscila Cachoeira,Red,Women's Flyweight,0.6567081869953304,1,1,0.6567081869953304
UFC 269: Oliveira vs. Poirier,2021-12-11,2021,Randy Costa,Tony Kelley,Blue,Bantamweight,0.6350136596160905,1,0,0.6350136596160905
UFC 269: Oliveira vs. Poirier,2021-12-11,2021,Ryan Hall,Darrick Minner,Red,Featherweight,0.4702858084289897,0,0,0.5297141915710103
UFC 269: Oliveira vs. Poirier,2021-12-11,2021,Miranda Maverick,Erin Blanchfield,Blue,Women's Flyweight,0.3869725342110275,0,1,0.6130274657889725
UFC 269: Oliveira vs. Poirier,2021-12-11,2021,Andre Muniz,Eryk Anders,Red,Middleweight,0.7991276984906657,1,1,0.7991276984906657
UFC 269: Oliveira vs. Poirier,2021-12-11,2021,Jordan Wright,Bruno Silva,Blue,Middleweight,0.7134253415015436,1,0,0.7134253415015436
UFC 269: Oliveira vs. Poirier,2021-12-11,2021,Augusto Sakai,Tai Tuivasa,Blue,Heavyweight,0.7349301523541699,1,0,0.7349301523541699
UFC 269: Oliveira vs. Poirier,2021-12-11,2021,Pedro Munhoz,Dominick Cruz,Blue,Bantamweight,0.45311798859370095,0,1,0.5468820114062991
UFC 269: Oliveira vs. Poirier,2021-12-11,2021,Josh Emmett,Dan Ige,Red,Featherweight,0.5633304057633648,1,1,0.5633304057633648
UFC 269: Oliveira vs. Poirier,2021-12-11,2021,Raulian Paiva,Sean O'Malley,Blue,Bantamweight,0.3988951393054169,0,1,0.601104860694583
UFC 269: Oliveira vs. Poirier,2021-12-11,2021,Kai Kara-France,Cody Garbrandt,Red,Flyweight,0.7633677305672817,1,1,0.7633677305672817
UFC 269: Oliveira vs. Poirier,2021-12-11,2021,Geoff Neal,Santiago Ponzinibbio,Red,Welterweight,0.612747009297747,1,1,0.612747009297747
