event_name,event_date,r_fighter,b_fighter,winner,weight_class,method,r_fights_prior,b_fights_prior,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,SLpM_total_diff,SApM_total_diff,wins_total_diff,losses_total_diff,reach_diff,height_diff,age_diff,weight_diff
UFC 2: No Way Out,1994-03-11,Royce Gracie,Remco Pardoel,Red,Open Weight,Submission,1,0,1.0,0.5,0.5,1.0,0.0,11.688311688311687,3.1168831168831166,0.7792207792207791,1,0,,-5.0800000000000125,,-38.55000000000001
UFC 2: No Way Out,1994-03-11,Patrick Smith,Johnny Rhodes,Red,Open Weight,Submission,1,0,0.5,0.0,0.0,0.5,0.0,0.0,0.7792207792207791,3.1168831168831166,0,1,,5.0800000000000125,,6.810000000000002
UFC 2: No Way Out,1994-03-11,Royce Gracie,Jason DeLucia,Red,Open Weight,Submission,2,0,0.8,0.5,0.6666666666666667,1.0,5.357142857142858,10.714285714285715,1.4285714285714286,0.35714285714285715,2,0,,5.079999999999984,3.0,-6.800000000000011
UFC 2: No Way Out,1994-03-11,Remco Pardoel,Orlando Wiet,Red,Open Weight,KO/TKO,1,0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0,1,,12.699999999999989,,40.82000000000001
UFC 2: No Way Out,1994-03-11,Johnny Rhodes,Fred Ettish,Red,Open Weight,Submission,1,0,0.4444444444444444,0.0,0.5833333333333333,1.0,0.0,0.0,3.582089552238806,4.477611940298507,0,1,,0.0,,13.599999999999994
UFC 2: No Way Out,1994-03-11,Patrick Smith,Ray Wizard,Red,Open Weight,Submission,2,0,0.42857142857142855,0.0,0.3846153846153846,0.6666666666666667,6.249999999999999,0.0,2.4999999999999996,3.333333333333333,1,1,,0.0,,0.0
UFC 2: No Way Out,1994-03-11,Royce Gracie,Minoki Ichihara,Red,Open Weight,Submission,3,0,0.6666666666666666,0.4,0.75,0.6666666666666667,7.659574468085106,7.659574468085106,1.021276595744681,0.25531914893617025,3,0,,15.23999999999998,,-1.3599999999999994
UFC 2: No Way Out,1994-03-11,Jason DeLucia,Scott Baker,Red,Open Weight,Submission,1,0,0.0,1.0,1.0,1.0,0.0,13.432835820895521,0.0,0.0,0,1,,-2.539999999999992,,-9.069999999999991
UFC 2: No Way Out,1994-03-11,Remco Pardoel,Alberta Cerra Leon,Red,Open Weight,Submission,2,0,0.875,0.5,0.6666666666666667,0.6666666666666667,0.0,5.0,2.3333333333333335,0.3333333333333333,1,1,,17.78,,9.980000000000004
UFC 2: No Way Out,1994-03-11,Orlando Wiet,Robert Lucarelli,Red,Open Weight,KO/TKO,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0.6741573033707865,4.719101123595506,0,1,,-10.159999999999997,,-34.019999999999996
UFC 2: No Way Out,1994-03-11,Johnny Rhodes,David Levicki,Red,Open Weight,KO/TKO,2,0,0.4473684210526316,0.0,0.5263157894736843,1.0,3.5433070866141736,0.0,4.015748031496063,2.1259842519685037,1,1,,-12.700000000000015,,-29.489999999999995
UFC 2: No Way Out,1994-03-11,Patrick Smith,Scott Morris,Red,Open Weight,KO/TKO,3,1,-0.5333333333333333,-1.0,-0.6428571428571429,-0.25,-36.0891089108911,-45.00000000000001,-0.9207920792079212,2.673267326732673,1,1,,10.159999999999997,,6.810000000000002
UFC 3: The American Dream,1994-09-09,Harold Howard,Roland Payne,Red,Open Weight,KO/TKO,1,0,0.3333333333333333,0.0,0.4545454545454546,0.0,10.344827586206897,0.0,1.3793103448275863,4.137931034482759,0,1,,12.700000000000015,,15.870000000000005
UFC 3: The American Dream,1994-09-09,Ken Shamrock,Christophe Leninger,Red,Open Weight,KO/TKO,1,0,1.0,0.5,0.0,1.0,3.2846715328467155,3.2846715328467155,0.8759124087591241,0.6569343065693432,1,0,,2.539999999999992,,2.269999999999996
UFC 3: The American Dream,1994-09-09,Royce Gracie,Kimo Leopoldo,Red,Open Weight,Submission,4,0,0.6,0.5,0.6363636363636364,0.75,6.6298342541436455,4.972375690607734,0.6629834254143646,0.4419889502762431,4,0,,-5.0800000000000125,1.0,-27.210000000000008
UFC 4: Revenge of the Warriors,1994-12-16,Royce Gracie,Keith Hackney,Red,Open Weight,Submission,5,1,-0.18000000000000005,0.375,-0.30000000000000004,-0.4,5.467800729040096,3.2806804374240577,-16.559625065092867,0.22483841653307735,4,0,,5.079999999999984,,-11.340000000000003
UFC 4: Revenge of the Warriors,1994-12-16,Royce Gracie,Dan Severn,Red,UFC 4 Tournament Title,Submission,6,0,0.48717948717948717,0.3,0.5757575757575757,0.6666666666666667,6.233766233766233,2.3376623376623376,0.987012987012987,0.7272727272727273,6,0,,-2.5400000000000205,-8.0,-34.02000000000001
UFC 4: Revenge of the Warriors,1994-12-16,Dan Severn,Marcus Bossett,Red,Open Weight,Submission,1,0,0.5714285714285714,1.0,1.0,1.0,0.0,0.9483667017913593,0.2528977871443625,0.0,0,1,,2.5400000000000205,,15.88000000000001
